PGC_name         T_PGC  T_PGC_err     type           D25         R25          PA     B_T_mag   e_B_T_mag       B_V_T     e_B_V_T          cz           z
PGC0051604          10           1     .I..9..           1        0.73         175      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051610           3         0.8     .SXT3..        1.34        0.27           8      -99.99      -99.99      -99.99      -99.99        8320     0.02775
PGC0051612           3         0.5     .SBR3P.        1.27        0.01       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051620           3         0.4     RSAT3..         1.3        0.21          10       13.06        0.14        0.62        0.02        2350    0.007839
PGC0051621           8         1.3     .SB.8*.           1        0.21         165      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051622           4         0.9     .S..4..        0.95        0.03       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051631           9         1.3     .S..9*.        1.07        0.32          20      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051635           8         1.2     .S..8*.        1.35        0.52          98      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051638           6         1.4     .S..6*.        0.96        0.69         135      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051645           7         1.2     .S..7*.        0.96        0.08       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051650           3         0.9     .SB.3..        1.09        0.07       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051664          10         1.3     .I..9*.           1        0.33          10      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051665           6         1.4     .S..6*.        0.96        0.51         110      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051668          -2         1.8     .L...?.        1.01        0.18         128      -99.99      -99.99      -99.99      -99.99        4370     0.01458
PGC0051681          -2         0.8     .L.....        1.26      -99.99       -9999       13.03        0.14        0.97        0.02        4498       0.015
PGC0051685           8         0.7     .S..8..        1.43        0.12          90      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051695           1         1.8     .S..1?.        1.19        0.69         137      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051703           3         0.9     .S..3..        1.16        0.78          45      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051705          -2         0.8     .L.....        1.22        0.21         120      -99.99      -99.99      -99.99      -99.99        7792     0.02599
PGC0051713           7         0.8     .S..7..        1.42        0.27         115      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051725           1         0.9     .SB.1..        1.02        0.24          25      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051728          -2           1     .L.....        1.09        0.58         176      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051730           6         1.2     .S..6*.        1.15        0.21          98      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051733           4         0.9     .SXS4..        1.09        0.19           5      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051735          -2         0.8     .L.....        1.09      -99.99       -9999      -99.99      -99.99      -99.99      -99.99        5274     0.01759
PGC0051741           6         1.9     .S..6?.        1.13        0.66          87      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051747           8         1.4     .S..8*.        1.02        0.74           7      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051751          -5         0.8     .E.....        1.26        0.14         130      -99.99      -99.99      -99.99      -99.99        4355     0.01453
PGC0051754           0         0.9     .S..0..        1.07        0.19         175      -99.99      -99.99      -99.99      -99.99        4280     0.01428
PGC0051758           2         0.5     PSXR2..        1.39        0.26         158      -99.99      -99.99      -99.99      -99.99        4379     0.01461
PGC0051779           3         0.9     .SB.3*.        1.19        0.54          81      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051780         6.5         0.6     .SXS7P.        1.28         0.3          85      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051782           8         1.4     .S..8*.           1        0.73         164      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051784           4         0.9     .S..4..        0.96        0.39          50      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051785          -1         0.4     .LXR+..        1.29        0.14          40      -99.99      -99.99      -99.99      -99.99        1664    0.005551
PGC0051787          -5         0.3     .E.1...        1.43        0.05         150       12.14        0.14        0.94        0.01        1667    0.005561
PGC0051795           5         0.3     .SXT5..        1.44        0.05          90        12.4         0.2        0.47        0.03        2319    0.007735
PGC0051798           9         0.8     .SB.9..        1.37        0.23       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051803           8         0.8     .SB.8..        1.06      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051809           8         0.8     .SB.8..         1.3        0.55         163      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051814           3         0.4     PSAT3..        1.24        0.13         125       12.86        0.13        0.68        0.01        3555     0.01186
PGC0051819           5         0.8     .SBT5..        1.09        0.06       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051829           4         0.9     .SXS4..        0.97        0.08          65      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051830           6         1.2     .S..6*P        1.23        0.18         168      -99.99      -99.99      -99.99      -99.99        2001    0.006675
PGC0051831           2         0.8     .S..2..        1.28        0.11          50      -99.99      -99.99      -99.99      -99.99        3192     0.01065
PGC0051834          -2         0.8     .L.....        1.16      -99.99       -9999      -99.99      -99.99      -99.99      -99.99        7614      0.0254
PGC0051838           2           1     .S..2..        1.04        0.67           1      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051843           1           1     .S..1..        1.06        0.56           0      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051846           7         0.4     .SBS7..        1.38         0.2          80          13         0.2        0.49        0.03        1385     0.00462
PGC0051850           3         0.8     .SB.3*.        1.27        0.39         163      -99.99      -99.99      -99.99      -99.99        3871     0.01291
PGC0051857           6         1.8     .S..6?.        1.03        0.06       -9999      -99.99      -99.99      -99.99      -99.99        5187      0.0173
PGC0051864           7         0.9     .SB.7..        0.94        0.03       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051865           4         0.8     .SX.4..        1.31        0.17         117      -99.99      -99.99      -99.99      -99.99        7519     0.02508
PGC0051875           3         0.9     .S..3..        1.21        0.57          43      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051878           3         0.9     .S..3..           1        0.43          49      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051895          -2         1.7     .L...?.         1.2        0.39          30      -99.99      -99.99      -99.99      -99.99        1410    0.004703
PGC0051901         5.3         0.7     .SB.5?/        1.39        0.59         136        12.9         0.3         0.8        0.04        2166    0.007225
PGC0051909           7           1     .S..7..        1.04        0.76         142      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051921           3         1.2     .SB.3*.        1.17        0.42          23      -99.99      -99.99      -99.99      -99.99        2389    0.007969
PGC0051932           3         0.3     .SXT3..        1.52        0.31           5      -99.99      -99.99      -99.99      -99.99        2267    0.007562
PGC0051953           5         0.4     .SXT5P$        1.28        0.15         145      -99.99      -99.99      -99.99      -99.99        2271    0.007575
PGC0051955           3         0.6     .SA.3*/        1.45        0.71         152        12.2         0.3        0.91        0.05        2403    0.008016
PGC0051957          -2         1.3     .L..0*/        1.21        0.71         119      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051958           8         1.5     .S..8*.           1        1.02          66      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0051964           3         1.8     .S..3$/        0.96        0.21          50       14.08        0.17        0.61        0.03        3588     0.01197
PGC0051973           6         0.3     .SXT6..         1.6        0.15          50      -99.99      -99.99      -99.99      -99.99        1338    0.004463
PGC0051978           4         0.3     .SAT4..         1.6        0.32          47       11.87        0.13        0.68        0.02        2141    0.007142
PGC0052006           8         1.4     .S..8*.        1.14        0.98         175      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052010           0         0.9     .S..0..        0.95        0.14          40      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052011           4         0.9     .S..4..        0.98        0.19       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052016           8         0.8     .SB.8..        1.18        0.32          20      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052018           7         0.3     .SAS7..        1.52        0.04       -9999        12.2         0.2        0.67        0.07        1574     0.00525
PGC0052023           4         0.9     .S..4..        0.98        0.05         175      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052027           3         0.9     .SB.3..        0.95        0.05       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052042           5         0.8     .SX.5..        1.04        0.02       -9999      -99.99      -99.99      -99.99      -99.99        7442     0.02482
PGC0052044           3           1     .S..3..        0.96        0.69         169      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052051           6         1.2     .S..6*.        1.16        0.25         145      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052088           9         1.2     .S..9*.        1.14        0.07       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052091           8         0.8     .SB.8..        1.22        0.23          20       14.79        0.15        0.52        0.05       -9999      -99.99
PGC0052092          10         0.8     .I..9..        1.28        0.27       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052107           3         0.4     .SBS3..        1.22        0.47         127        14.6         0.2        0.46        0.05        2258    0.007532
PGC0052114           0         0.6     .SBS0$.         1.1         0.3       -9999       15.67        0.16        0.84        0.03       10732      0.0358
PGC0052115           2         0.9     .SB.2..        1.06        0.23         140      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052116          -3         0.7     .L..-$.        1.38        0.15         105        12.6         0.2        0.85         0.1        2119    0.007068
PGC0052131           2           1     .S..2..        1.07        0.79         166      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052132           3         0.9     .S..3..        1.06        0.24         127      -99.99      -99.99      -99.99      -99.99        8654     0.02887
PGC0052137          -2         0.9     .L.....           1        0.28         170      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052141          10         1.1     .I..9*.        1.08      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052142          10         0.5     .I..9..        1.23        0.42         145      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052153           8         1.6     .S..8*.        0.96        0.98          30      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052154           0         0.3     .SBS0*.        1.54        0.56          85        12.8         0.2        0.94        0.05        2119    0.007068
PGC0052159           3         0.8     .SB.3..        1.36        0.51          48      -99.99      -99.99      -99.99      -99.99        1932    0.006444
PGC0052160          -2         0.9     .L.....        1.22        0.51          28      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052167           6         1.7     .S..6?.        1.35         0.5          46      -99.99      -99.99      -99.99      -99.99        1736    0.005791
PGC0052171           1         0.9     .SB.1..        1.02        0.08       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052173          -3         1.3     .L..-*.        0.93      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052178          10         1.4     .I..9*.        1.11        0.83         145      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052179          -2         0.8     .L.....        1.18        0.05         105       13.58        0.15        0.92        0.03        4082     0.01362
PGC0052192          -5         1.2     .E...*.        1.07        0.03       -9999      -99.99      -99.99      -99.99      -99.99       10339     0.03449
PGC0052194           7         0.4     .SBT7..        1.26        0.08       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052199          -2         0.8     .L.....        0.96        0.06       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052235           4         0.8     .S..4..         1.3        0.12          45      -99.99      -99.99      -99.99      -99.99        5475     0.01826
PGC0052247           6         1.3     .S..6*.        1.26        0.94         161      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052248           4         0.9     .S..4..        1.11        0.54         135      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052251           3         0.8     .SB.3..        1.27         0.3          70      -99.99      -99.99      -99.99      -99.99        3646     0.01216
PGC0052254           2         0.9     .S..2..        0.95        0.13          65      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052263          10         0.8     .I..9..        1.18         0.2       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052264           1         0.9     RSB.1..           1      -99.99       -9999      -99.99      -99.99      -99.99      -99.99        9940     0.03316
PGC0052266           2         0.7     .S..2*/        1.41         0.7          35      -99.99      -99.99      -99.99      -99.99        2208    0.007365
PGC0052273           5         0.7     .S..5$/        1.53        0.53         143        12.5         0.2      -99.99      -99.99        1778    0.005931
PGC0052291           1         0.4     .SXS1*P        1.27        0.12         110       12.28        0.13        0.51        0.01        1846    0.006158
PGC0052307           6         1.2     .S..6*.        1.51        0.91          82      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052315           8         1.2     .S..8*.         1.2        0.45         177      -99.99      -99.99      -99.99      -99.99        2706    0.009026
PGC0052328           3         0.8     .S..3..        1.32        0.18         140      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052338           6         1.1     .S..6*.        1.13      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       13601     0.04537
PGC0052340           1         0.9     .S..1..        1.06        0.59          33      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052343           1         0.9     .SB.1..         1.2        0.55         105      -99.99      -99.99      -99.99      -99.99        3700     0.01234
PGC0052344           3         0.9     .S..3..        1.34        0.95       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052349          -2         0.9     .L.....           1        0.38         175      -99.99      -99.99      -99.99      -99.99       10426     0.03478
PGC0052356          10         1.1     .I..9*.        1.08        0.16       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052359           7         0.9     .S..7..        1.06        0.39          28      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052364           9         1.3     .S..9*.        1.24        0.46         145      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052365           0         0.3     RSBT0..        1.63        0.02       -9999       11.76        0.14        0.88        0.01        1556     0.00519
PGC0052379           1         0.9     .SB.1..        0.96        0.09          65      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052383           4           1     .S..4..        0.96         0.8          75      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052390           8         1.5     .S..8*.        0.96         0.9          50      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052395         7.3         0.4     .SBT7..        1.46        0.23          75      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052396          10         1.2     .I..9*.        1.25        0.69          88      -99.99      -99.99      -99.99      -99.99        2530    0.008439
PGC0052412           4         0.3     .SXT4P.        1.44        0.05          10       11.84        0.15        0.64        0.01        1883    0.006281
PGC0052416           0         0.9     .S..0..        0.96        0.39          20      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052421           6         1.2     .S..6*.           1        0.11       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052424           8         0.8     .SX.8..        1.35        0.28         135      -99.99      -99.99      -99.99      -99.99        1523     0.00508
PGC0052429           0           1     .S..0..        0.97        0.66          62      -99.99      -99.99      -99.99      -99.99        6812     0.02272
PGC0052433          -2         1.6     .L...?.        1.03      -99.99       -9999      -99.99      -99.99      -99.99      -99.99        7929     0.02645
PGC0052438           4         0.8     .S..4..        1.13        0.27          40      -99.99      -99.99      -99.99      -99.99        3744     0.01249
PGC0052441          -3         1.1     .L..-*.        1.18        0.14          85      -99.99      -99.99      -99.99      -99.99        8277     0.02761
PGC0052453           0           1     .S..0..           1        0.63          42      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052455           2         0.3     .SXS2P.        1.51        0.44         107      -99.99      -99.99      -99.99      -99.99        1713    0.005714
PGC0052456         6.8         0.8     .SBS7*.        1.06        0.19          40      -99.99      -99.99      -99.99      -99.99        1635    0.005454
PGC0052466          10         1.2     .I..9*.        0.87        0.25       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052476           5         0.8     .SXT5..        1.19        0.19         137      -99.99      -99.99      -99.99      -99.99        3267      0.0109
PGC0052478          -2         1.1     .L...*.        1.15        0.07         130      -99.99      -99.99      -99.99      -99.99        4695     0.01566
PGC0052488           3         0.9     .SB.3..        1.12         0.4         165      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052491         9.5         0.8     .IXS9*.        1.23        0.05         105      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052495           8         0.6     .SBT8P*         1.1        0.24          52      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052499           6         1.2     .S..6*.        1.02        0.05       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052500           8         1.3     .S..8*.           1        0.33          45      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052504           6         1.4     .S..6*.           1        0.84          65      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052527           0         0.9     .SB.0..        0.96        0.25          80      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052531        -0.5         0.5     .LXR+*.        1.36        0.04       -9999      -99.99      -99.99      -99.99      -99.99        5578     0.01861
PGC0052532           3         0.9     .S..3..        1.18        0.55          27      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052535           4         0.7     .SBT4..        1.38         0.1          40      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052550         6.3         1.1     .S..6?/        1.05        0.45         148      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052558           7           1     .S..7..        1.04        0.88          66      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052602           6         1.4     .S..6*.        1.11        0.83       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052607           6         1.2     .S..6*.        1.18         0.3          55      -99.99      -99.99      -99.99      -99.99        3242     0.01081
PGC0052608           6         1.2     .S..6*.        1.08        0.17           5      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052614          -2           1     .L..0*/        0.98        0.47         117      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052625           1         0.9     .S..1..           1        0.38          50      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052641           3         0.3     .SXT3..        1.47        0.29         160       12.56        0.14         0.7        0.02        1567    0.005227
PGC0052654           4         1.2     .SBR4*.        1.13        0.07       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052665           3         0.3     .SXT3$/        1.87        0.75         170       11.29        0.13        0.97        0.01        1774    0.005917
PGC0052686           3         0.8     .SBT3..         1.3        0.04       -9999      -99.99      -99.99      -99.99      -99.99        4519     0.01507
PGC0052689           9           1     .S..9*.        1.44      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052702          10         0.9     .I..9..        0.96        0.39          63      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052712           4         0.9     .S..4..        1.12        0.63          62      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052713           3         0.8     .S..3..        1.26        0.15          20      -99.99      -99.99      -99.99      -99.99        4013     0.01339
PGC0052732           2           1     .S..2..        1.06        0.75          45      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052735           0         0.3     .SBR0..        1.48        0.28          65        12.5        0.13        0.86        0.01        1646     0.00549
PGC0052741          -2         1.3     .L...*.         0.9         0.1          75      -99.99      -99.99      -99.99      -99.99        1692    0.005644
PGC0052743          -5         0.9     .E.....           1        0.09           0      -99.99      -99.99      -99.99      -99.99        8718     0.02908
PGC0052752          -2         0.9     .L.....           1        0.21          10      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052754          -3         1.2     .L..-*.        1.07        0.09       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052766           3         1.3     .S..3*.        1.02        0.23          50      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052781           1         1.2     .SB.1*.        1.07        0.25           0      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052788           0         0.9     .S..0..        0.95        0.03       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052795           8         1.4     .S..8*.        0.96        0.69         124      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052826           6         1.5     .S..6*.           1        1.02          61      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052877           3         0.8     .S..3..        1.37        0.65         140      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052883          -5         1.7     .E...?.           1        0.14         140      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052901           6         1.2     .S..6*.        1.07         0.1          80      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052908           7         0.8     .S..7..        1.21        0.53          32      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052912           1           1     .S..1..        1.04        0.72          67      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052920           2           1     .S..2..        1.07         0.8         103      -99.99      -99.99      -99.99      -99.99        4306     0.01436
PGC0052921           4           1     .S..4..        1.11        1.05         152      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052924          -2         0.8     .LB....           1         0.1       -9999        14.4         0.2        0.83        0.02       12423     0.04144
PGC0052942           2         0.9     .SB.2*.        0.96        0.15         150      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052949           7           1     .S..7..        0.96        0.98          44      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052952           6         1.4     .SB.6?.        1.18        0.73         136      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052979           3         1.4     .S..3*.        1.11        0.83         163      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0052986           2         0.9     .S..2..           1        0.55         167      -99.99      -99.99      -99.99      -99.99        9223     0.03076
PGC0052998           7         1.3     .S..7*.        0.97         0.1         150      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053000          -2         0.8     .L.....        1.11        0.23          45      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053010           2         0.9     .SBS2..        0.93        0.11         125      -99.99      -99.99      -99.99      -99.99        9053      0.0302
PGC0053043           3         0.8     .S..3..        1.49        0.86         144      -99.99      -99.99      -99.99      -99.99        2126    0.007092
PGC0053067           3         0.5     .SAR3*.        1.32        0.21          35      -99.99      -99.99      -99.99      -99.99        4916      0.0164
PGC0053073          10         1.3     .I..9*.           1        0.25         137      -99.99      -99.99      -99.99      -99.99        2559    0.008536
PGC0053083           7         0.8     .SBT7..        1.16        0.08       -9999      -99.99      -99.99      -99.99      -99.99        2498    0.008332
PGC0053089           5         0.5     .SAT5*.        1.27        0.13         120      -99.99      -99.99      -99.99      -99.99        1944    0.006484
PGC0053094           3         0.9     .SB.3..         1.1        0.07         162      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053178           3         0.3     .SBS3..        1.33        0.08         110      -99.99      -99.99      -99.99      -99.99        1558    0.005197
PGC0053201          -2         0.8     .LB....        1.23        0.13       -9999       13.15        0.13        0.89        0.01        1463     0.00488
PGC0053217           5         0.5     .SXS5..        1.46        0.21           0      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053231           7         0.3     .SXT7..        1.48        0.09         145       12.74        0.06         0.6        0.05        1529      0.0051
PGC0053247           5         0.5     .SB.5$/        1.62        0.62         146       12.24        0.08        0.83        0.05        1563    0.005214
PGC0053260          -2         0.9     .L.....        1.01        0.12         150      -99.99      -99.99      -99.99      -99.99        8302     0.02769
PGC0053265          -2         0.7     .L.....        1.27        0.01       -9999      -99.99      -99.99      -99.99      -99.99        5462     0.01822
PGC0053268           3         0.9     .S..3..           1        0.43         142      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053278          10         0.9     .IBS9..        1.22        0.31         125      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053307           6         1.2     .SB.6*.        1.02        0.14       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053313           4         0.9     .S..4..        0.95        0.13           0      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053317           9         1.3     .S..9*.        1.15        0.12          22      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053332           6         1.2     .S..6*.        1.19        0.42         124      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053335           6         1.5     .S..6*.        1.02        0.87          52      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053350           6         1.5     .S..6*.        1.04        1.01         167      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053376           3           1     .S..3..        1.07        0.79         143      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053379          -2         0.8     .L.....        0.91        0.02       -9999      -99.99      -99.99      -99.99      -99.99        9652      0.0322
PGC0053383           6         0.7     .SBS6P?        1.19        0.09          10      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053387           5         0.8     .SXS5..        1.13        0.11       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053408           0         0.9     .S..0..        1.04        0.22         110      -99.99      -99.99      -99.99      -99.99        3978     0.01327
PGC0053411           1         0.9     .S..1..           1        0.05       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053414           8         0.9     .S..8..        0.95        0.05       -9999      -99.99      -99.99      -99.99      -99.99        1804    0.006017
PGC0053418          -5         0.8     .E.....        1.24        0.22          80      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053419          10         1.1     .I..9*.        1.16        0.05       -9999        15.1         0.5        0.36        0.12       -9999      -99.99
PGC0053424           2         0.9     .S..2..        1.02        0.09       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053428          -2         0.8     .L.....        1.08        0.13         155      -99.99      -99.99      -99.99      -99.99        8691     0.02899
PGC0053437           3         0.8     .SBS3..        1.09        0.06           0      -99.99      -99.99      -99.99      -99.99        4097     0.01367
PGC0053441           3         0.9     .SB.3..        1.02        0.44          95      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053442           1         0.9     .S..1..        1.16        0.47         152      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053463          10         1.2     .I..9*.        1.15        0.17          42      -99.99      -99.99      -99.99      -99.99        1278    0.004263
PGC0053470           2         0.9     .SB.2*.        1.19        0.52         178      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053476           7         0.8     .SA.7..        1.13        0.11         135      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053486          10         0.8     .I..9..        1.13         0.1          40      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053499           3         0.3     .SBT3..        1.84         0.6          84       12.08        0.13        0.83        0.02        1950    0.006504
PGC0053508           2         0.9     .S..2..        1.02        0.04       -9999      -99.99      -99.99      -99.99      -99.99       10748     0.03585
PGC0053510          10         1.3     .I..9*.        1.11        0.66          44      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053511          -2         0.3     .L..../        1.22        0.19       -9999       13.42        0.14        0.97        0.01        3252     0.01085
PGC0053530          -2         0.8     .L.....        1.08        0.12         170      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0053556           1         0.8     .SBR1..         1.1      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
