PGC_name         T_PGC  T_PGC_err     type           D25         R25          PA     B_T_mag   e_B_T_mag       B_V_T     e_B_V_T          cz           z
PGC0006309          10         0.8     .IB.9*.        1.31        0.17         170      -99.99      -99.99      -99.99      -99.99         839    0.002799
PGC0006318           1         0.3     .SBS1P.        1.92        0.42         170       12.02         0.1        0.86        0.07         823    0.002745
PGC0006364          10           1     .I..9*.        1.37         0.1       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006450          -3         0.9     .L..-..        1.12        0.12       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006504          10         0.9     .IBS9..        1.08        0.22       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006505           3         1.2     .SBT3P*        1.16        0.31       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006516           9         1.2     .S..9*.        1.03        0.12       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006627           6         1.3     .S..6*.        1.15        0.65          92      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006628          10         0.9     .I..9..        1.11        0.25       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006636           6         1.3     .S..6*.        1.04        0.59       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006637          -2         1.3     .L..0*/        1.08        0.59       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006657          -2         0.8     .LB....        1.22        0.18          95      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006667         6.7         0.6     .SBS7..        1.46         0.1       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006670           1         1.2     .S..1*.        1.16        0.46         108      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006671           2         0.3     .SXS2./        1.41         0.2          60       12.82         0.1        0.83        0.01        1754    0.005851
PGC0006673          -5         0.7     .E.....         1.3      -99.99       -9999        13.2         0.2        0.99        0.05        5100     0.01701
PGC0006678           6         1.3     .S..6*.           1        0.33         105      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006826           5         0.4     .SBT5..        1.39        0.32          40       12.82        0.13        0.65        0.01        1807    0.006028
PGC0006832           3         0.4     PSXT3..        0.93         0.1       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006835          -2         0.8     .L.....        1.04      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006855           5         0.8     .SAS5..        1.16        0.07       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006861        -3.4         0.7     PLXS-*.        1.11        0.19       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006888           3         1.2     .S..3*.        1.07         0.1           1      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006982           1         0.8     .SB.1*.        1.26        0.38          57      -99.99      -99.99      -99.99      -99.99        4590     0.01531
PGC0006986           2         0.9     .S..2..        0.95        0.47          67      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0007022           9         1.2     .S..9*.        0.96      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
