PGC_name         cz      redshift   nedname 
PGC014100        4917      0.0164 MCG_-01-10-047
PGC020545       -9999      -99.99   UGC_03773
PGC020799        8044     0.02683   UGC_03811
PGC020886        7131     0.02379   UGC_03822
PGC020900        8281     0.02762   UGC_03825
PGC021014        3137     0.01046   UGC_03844
PGC021073         354    0.001181   UGC_03860
PGC021104        3545     0.01182   UGC_03868
PGC021119        7018     0.02341   UGC_03871
PGC021120         854    0.002849   UGC_03876
PGC021144       10706     0.03571     IC_2190
PGC021154        4886      0.0163    NGC_2393
PGC021168        4760     0.01588   UGC_03887
PGC021187        5944     0.01983   UGC_03888
PGC021220        8403     0.02803    NGC_2407
PGC021244        3884     0.01296   UGC_03899
PGC021280        4734     0.01579   UGC_03904
PGC021291       18542     0.06185   UGC_03907
PGC021321        4452     0.01485   UGC_03916
PGC021336        4681     0.01561    NGC_2410
PGC021341        8520     0.02842   UGC_03920
PGC021372        4621     0.01541     IC_2201
PGC021382        5037      0.0168    NGC_2418
PGC021402        4578     0.01527   UGC_03932
PGC021414        8422     0.02809   UGC_03939
PGC021431        5897     0.01967   UGC_03933
PGC021437        7976     0.02661   UGC_03942
PGC021443        9631     0.03212   UGC_03935
PGC021475        3895     0.01299   UGC_03944
PGC021491        3919     0.01307   UGC_03947
PGC021495        5104     0.01703   UGC_03952
PGC021513        6382     0.02129   UGC_03949
PGC021515        7357     0.02454   UGC_03956
PGC021517        3190     0.01064   UGC_03954
PGC021542        2254    0.007519   UGC_03960
PGC021555        4525     0.01509     IC_2203
PGC021558        3353     0.01118    NGC_2424
PGC021578        6314     0.02106   UGC_03961
PGC021580        8130     0.02712   UGC_03969
PGC021581        4664     0.01556     IC_2204
PGC021585         361    0.001204   UGC_03966
PGC021600         272    0.000907   UGC_03974
PGC021618        6652     0.02219   UGC_03973
PGC021657        3733     0.01245   UGC_03986
PGC021659        5421     0.01808     IC_0471
PGC021665        5682     0.01895     IC_0472
PGC021676        4189     0.01397    NGC_2435
PGC021680        6413     0.02139   UGC_03988
PGC021688        5915     0.01973   UGC_03997
PGC021733        5751     0.01918   UGC_04002
PGC021755        6516     0.02174   UGC_04007
PGC021767        9219     0.03075   UGC_04008
